Datestamp,Active Student Cases,Total Student Cases,Active Staff Cases,Total Staff Cases,Quarantined Students,Quarantined Staff,Student Quarantine Factor,Staff Quarantine Factor,Change in Students Quarantined,% Change in Students Quarantined,% Students Quarantined,Change in Active Student Cases,% Change in Active Student Cases,% Students with Active Cases,Change in Total Student Cases,% Change in Total Student Cases,% of Students in Total Student Cases,Student Cases Resolved,Student Cases Newly Resolved,New Student Cases,Change in Staff Quarantined,% Change in Staff Quarantined,Change in Active Staff Cases,% Change in Active Staff Cases,Change in Total Staff Cases,% Change in Total Staff Cases,Staff Cases Resolved,Staff Cases Newly Resolved,New Staff Cases
2021-09-14,85,86,4,4,578.0,4.0,6.8,1.0,578.0,inf,0.6799999999999999,85,inf,0.1,86,inf,0.10117647058823528,1,1,86,4.0,inf,4,inf,4,inf,0,0,4
2021-09-21,206,224,18,19,1284.0,28.0,6.233009708737864,1.5555555555555556,706.0,122.1453287197232,1.5105882352941178,121,142.35294117647058,0.24235294117647058,138,160.46511627906978,0.2635294117647059,18,17,138,24.0,600.0,14,350.0,15,375.0,1,1,15
2021-09-22,223,279,18,24,1335.0,29.0,5.986547085201794,1.6111111111111112,51.0,3.9719626168224296,1.5705882352941176,17,8.25242718446602,0.2623529411764706,55,24.553571428571427,0.32823529411764707,56,38,55,1.0,3.571428571428571,0,0.0,5,26.31578947368421,6,5,5
2021-09-23,239,312,20,27,1388.0,31.0,5.807531380753138,1.55,53.0,3.9700374531835205,1.6329411764705883,16,7.174887892376682,0.2811764705882353,33,11.827956989247312,0.36705882352941177,73,17,33,2.0,6.896551724137931,2,11.11111111111111,3,12.5,7,1,3
2021-09-24,242,335,22,29,1472.0,33.0,6.082644628099174,1.5,84.0,6.051873198847262,1.7317647058823529,3,1.2552301255230125,0.2847058823529412,23,7.371794871794872,0.3941176470588235,93,20,23,2.0,6.451612903225806,2,10.0,2,7.4074074074074066,7,0,2
2021-09-27,207,345,33,44,1633.0,40.0,7.888888888888889,1.2121212121212122,161.0,10.9375,1.9211764705882353,-35,-14.46280991735537,0.24352941176470588,10,2.9850746268656714,0.40588235294117647,138,45,10,7.0,21.21212121212121,11,50.0,15,51.724137931034484,11,4,15
2021-09-28,229,391,36,51,1737.0,44.0,7.585152838427947,1.2222222222222223,104.0,6.368646662584202,2.043529411764706,22,10.628019323671497,0.26941176470588235,46,13.333333333333334,0.45999999999999996,162,24,46,4.0,10.0,3,9.090909090909092,7,15.909090909090908,15,4,7
2021-09-29,231,415,32,52,1756.0,40.0,7.6017316017316015,1.25,19.0,1.0938399539435808,2.0658823529411765,2,0.8733624454148471,0.27176470588235296,24,6.138107416879795,0.48823529411764705,184,22,24,-4.0,-9.090909090909092,-4,-11.11111111111111,1,1.9607843137254901,20,5,1
2021-09-30,204,419,27,52,1725.0,35.0,8.455882352941176,1.2962962962962963,-31.0,-1.765375854214123,2.0294117647058822,-27,-11.688311688311687,0.24,4,0.9638554216867471,0.49294117647058827,215,31,4,-5.0,-12.5,-5,-15.625,0,0.0,25,5,0
2021-10-01,237,475,26,58,1701.0,29.0,7.177215189873418,1.1153846153846154,-24.0,-1.391304347826087,2.0011764705882356,33,16.176470588235293,0.2788235294117647,56,13.365155131264917,0.5588235294117647,238,23,56,-6.0,-17.142857142857142,-1,-3.7037037037037033,6,11.538461538461538,32,7,6
